Word1,A大学,B大学,C大学,D大学,E大学,F大学,G大学
研究,7,3,9,54,6,11,4
大学,11,0,7,41,6,9,4
社会,9,4,1,16,8,4,4
教育,9,1,5,18,3,5,3
世界,11,7,3,0,11,5,1
国際,1,1,1,10,7,4,0
学生,5,1,3,6,4,3,2
人材,2,1,1,4,8,2,1
連携,3,2,0,7,4,0,2
本学,0,0,5,7,1,3,0
推進,2,0,3,7,1,0,1
知,0,6,1,2,0,2,3
変化,2,1,1,6,1,0,2
育成,1,2,0,6,1,2,1
未来,1,1,5,0,5,0,0
貢献,4,1,0,0,5,2,0
学問,3,2,5,0,0,0,1
組織,0,1,0,9,0,1,0
課題,0,4,1,4,0,1,1
強化,1,1,0,5,2,1,0
改革,1,4,0,2,1,2,0
活動,0,1,2,4,2,1,0
発展,2,1,1,1,2,1,2
職員,0,0,0,10,0,0,0
OTHERS1,150,116,124,449,171,170,105
